ID;Lat;Lon;Alt;Vel;Ax;Ay;Az;Mx;My;Mz
1;47.4732183333333;19.0631766666667;111.7;0.058;;;;;;
8;47.4732183333333;19.0631766666667;111.7;0.066;;;;;;
9;47.4732183333333;19.0631766666667;111.7;0.066;;;;;;
10;47.4732183333333;19.0631766666667;111.7;0.015;;;;;;
11;47.4732183333333;19.0631766666667;111.7;0.04;;;;;;
12;47.4732183333333;19.0631766666667;111.7;0.065;;;;;;
13;47.4732183333333;19.0631766666667;111.7;0.073;;;;;;
14;47.4732183333333;19.0631766666667;111.7;0.034;;;;;;
15;47.4732183333333;19.0631766666667;111.7;0.058;;;;;;
16;47.4732183333333;19.0631766666667;111.7;0.097;;;;;;
17;47.4732183333333;19.0631766666667;111.7;0.011;;;;;;
18;47.4732183333333;19.0631766666667;111.7;0.01;;;;;;
19;47.4732183333333;19.0631766666667;111.7;0.073;;;;;;
20;47.4732183333333;19.0631766666667;111.7;0.073;;;;;;
21;47.4732183333333;19.0631766666667;111.7;0.029;;;;;;
22;47.4732183333333;19.0631766666667;111.7;0.029;;;;;;
23;47.4732183333333;19.0631766666667;111.7;0.03;;;;;;
24;47.4732183333333;19.0631766666667;111.7;0.073;;;;;;
25;47.4732183333333;19.0631766666667;111.7;0.022;;;;;;
26;47.4732183333333;19.0631766666667;111.7;0.03;;;;;;
27;47.4732183333333;19.0631766666667;111.7;0.004;;;;;;
28;47.4732183333333;19.0631766666667;111.7;0.022;;;;;;
29;47.4732183333333;19.0631766666667;111.7;0.016;;;;;;
30;47.4732183333333;19.0631766666667;111.7;0.017;;;;;;
31;47.4732183333333;19.0631766666667;111.7;0.074;;;;;;
32;47.4732183333333;19.0631766666667;111.7;0.007;;;;;;
33;47.4732183333333;19.0631766666667;111.7;0.023;;;;;;
34;47.4732183333333;19.0631766666667;111.7;0.11;;;;;;
35;47.4732183333333;19.0631766666667;111.7;0.023;;;;;;
36;47.4732183333333;19.0631766666667;111.7;0.018;;;;;;
37;47.4732183333333;19.0631766666667;111.7;0.029;;;;;;
